sysnet_id,description
n02119789,kit fox
n02100735,English setter
n02390258,hinny
n02129991,liger
n02096294,Australian terrier
n02073831,manatee
n02390101,mule
n02496913,lemur
n02509815,lesser panda
n02131653,bear
n02090475,wolfhound
n02357585,chickeree
n02124075,Egyptian cat
n02499808,galago
n02123394,Persian cat
n02125311,cougar
n02423022,gazelle
n02447366,badger
n02109047,Great Dane
n02091134,whippet
n02147947,pipistrelle
n02092002,Scottish deerhound
n02088839,coonhound
n02071294,killer whale
n02089555,foxhound
n02442845,mink
n02429456,pronghorn
n02351870,jerboa
n02486657,chacma
n02095412,wirehair
n02128925,jaguar
n02091635,otterhound
n02088466,bloodhound
n02421449,gnu
n02401031,bovid
n02427576,lechwe
n02443484,black-footed ferret
n02470238,simian
n02084861,cur
n02445715,skunk
n02450034,marten
n02364520,cavy
n02112826,corgi
n02441942,weasel
n02425228,bushbuck
n02508742,bassarisk
n02105162,malinois
n02488702,colobus
n02064000,bowhead
n02481500,silverback
n02368116,viscacha
n02126787,manul
n02389261,pinto
n02422699,impala
n02488894,guereza
n02422106,hartebeest
n02104365,schipperke
n02448318,ratel
n02414763,argali
n02484975,guenon
n02500267,indri
n02411705,sheep
n02380335,pony
n02082791,aardvark
n02106966,pinscher
n02096756,schnauzer
n02093056,bullterrier
n02431337,hart
n02113335,poodle
n02344528,lemming
n02412210,wether
n02391049,zebra
n02378415,warhorse
n02430045,deer
n02480495,orangutan
n02110806,basenji
n02419796,antelope
n02100583,vizsla
n02101108,spaniel
n02386310,workhorse
n02105056,groenendael
n02101556,clumber
n02411999,ewe
n02136794,fanaloka
n02481823,chimpanzee
n02105505,komondor
n02416104,aoudad
n02414209,longwool
n02498153,aye-aye
n02092173,staghound
n02075296,carnivore
n02480855,gorilla
n02421136,addax
n02421792,dik-dik
n02375302,roan
n02427724,waterbuck
n02136103,binturong
n02330245,mouse
n02414290,merino
n02442336,stoat
n02509515,coati
n02428349,oryx
n02089232,dachshund
n02376918,male horse
n02426813,eland
n02483708,siamang
n02106030,collie
n02471762,hominid
n02118176,aardwolf
n02428508,gemsbok
n02090827,greyhound
n02326432,hare
n02088364,beagle
n02381004,buckskin
n02486261,patas
n02115913,dhole
n02424305,kudu
n02451415,tayra
n02486410,baboon
n02487347,macaque
n02420828,gerenuk
