sysnet_id,class,index
n01440764,tench,0
n01443537,goldfish,1
n01484850,great white shark,2
n01491361,tiger shark,3
n01494475,hammerhead,4
n01496331,electric ray,5
n01498041,stingray,6
n01514668,cock,7
n01514859,hen,8
n01518878,ostrich,9
n01530575,brambling,10
n01531178,goldfinch,11
n01532829,house finch,12
n01534433,junco,13
n01537544,indigo bunting,14
n01558993,robin,15
n01560419,bulbul,16
n01580077,jay,17
n01582220,magpie,18
n01592084,chickadee,19
n01601694,water ouzel,20
n01608432,kite,21
n01614925,bald eagle,22
n01616318,vulture,23
n01622779,great grey owl,24
n01629819,European fire salamander,25
n01630670,common newt,26
n01631663,eft,27
n01632458,spotted salamander,28
n01632777,axolotl,29
n01641577,bullfrog,30
n01644373,tree frog,31
n01644900,tailed frog,32
n01664065,loggerhead,33
n01665541,leatherback turtle,34
n01667114,mud turtle,35
n01667778,terrapin,36
n01669191,box turtle,37
n01675722,banded gecko,38
n01677366,common iguana,39
n01682714,American chameleon,40
n01685808,whiptail,41
n01687978,agama,42
n01688243,frilled lizard,43
n01689811,alligator lizard,44
n01692333,Gila monster,45
n01693334,green lizard,46
n01694178,African chameleon,47
n01695060,Komodo dragon,48
n01697457,African crocodile,49
n01698640,American alligator,50
n01704323,triceratops,51
n01728572,thunder snake,52
n01728920,ringneck snake,53
n01729322,hognose snake,54
n01729977,green snake,55
n01734418,king snake,56
n01735189,garter snake,57
n01737021,water snake,58
n01739381,vine snake,59
n01740131,night snake,60
n01742172,boa constrictor,61
n01744401,rock python,62
n01748264,Indian cobra,63
n01749939,green mamba,64
n01751748,sea snake,65
n01753488,horned viper,66
n01755581,diamondback,67
n01756291,sidewinder,68
n01768244,trilobite,69
n01770081,harvestman,70
n01770393,scorpion,71
n01773157,black and gold garden spider,72
n01773549,barn spider,73
n01773797,garden spider,74
n01774384,black widow,75
n01774750,tarantula,76
n01775062,wolf spider,77
n01776313,tick,78
n01784675,centipede,79
n01795545,black grouse,80
n01796340,ptarmigan,81
n01797886,ruffed grouse,82
n01798484,prairie chicken,83
n01806143,peacock,84
n01806567,quail,85
n01807496,partridge,86
n01817953,African grey,87
n01818515,macaw,88
n01819313,sulphur-crested cockatoo,89
n01820546,lorikeet,90
n01824575,coucal,91
n01828970,bee eater,92
n01829413,hornbill,93
n01833805,hummingbird,94
n01843065,jacamar,95
n01843383,toucan,96
n01847000,drake,97
n01855032,red-breasted merganser,98
n01855672,goose,99
n01860187,black swan,100
n01871265,tusker,101
n01872401,echidna,102
n01873310,platypus,103
n01877812,wallaby,104
n01882714,koala,105
n01883070,wombat,106
n01910747,jellyfish,107
n01914609,sea anemone,108
n01917289,brain coral,109
n01924916,flatworm,110
n01930112,nematode,111
n01943899,conch,112
n01944390,snail,113
n01945685,slug,114
n01950731,sea slug,115
n01955084,chiton,116
n01968897,chambered nautilus,117
n01978287,Dungeness crab,118
n01978455,rock crab,119
n01980166,fiddler crab,120
n01981276,king crab,121
n01983481,American lobster,122
n01984695,spiny lobster,123
n01985128,crayfish,124
n01986214,hermit crab,125
n01990800,isopod,126
n02002556,white stork,127
n02002724,black stork,128
n02006656,spoonbill,129
n02007558,flamingo,130
n02009229,little blue heron,131
n02009912,American egret,132
n02011460,bittern,133
n02012849,crane,134
n02012849,crane,517
n02013706,limpkin,135
n02017213,European gallinule,136
n02018207,American coot,137
n02018795,bustard,138
n02025239,ruddy turnstone,139
n02027492,red-backed sandpiper,140
n02028035,redshank,141
n02033041,dowitcher,142
n02037110,oystercatcher,143
n02051845,pelican,144
n02056570,king penguin,145
n02058221,albatross,146
n02066245,grey whale,147
n02071294,killer whale,148
n02074367,dugong,149
n02077923,sea lion,150
n02085620,Chihuahua,151
n02085782,Japanese spaniel,152
n02085936,Maltese dog,153
n02086079,Pekinese,154
n02086240,Shih-Tzu,155
n02086646,Blenheim spaniel,156
n02086910,papillon,157
n02087046,toy terrier,158
n02087394,Rhodesian ridgeback,159
n02088094,Afghan hound,160
n02088238,basset,161
n02088364,beagle,162
n02088466,bloodhound,163
n02088632,bluetick,164
n02089078,black-and-tan coonhound,165
n02089867,Walker hound,166
n02089973,English foxhound,167
n02090379,redbone,168
n02090622,borzoi,169
n02090721,Irish wolfhound,170
n02091032,Italian greyhound,171
n02091134,whippet,172
n02091244,Ibizan hound,173
n02091467,Norwegian elkhound,174
n02091635,otterhound,175
n02091831,Saluki,176
n02092002,Scottish deerhound,177
n02092339,Weimaraner,178
n02093256,Staffordshire bullterrier,179
n02093428,American Staffordshire terrier,180
n02093647,Bedlington terrier,181
n02093754,Border terrier,182
n02093859,Kerry blue terrier,183
n02093991,Irish terrier,184
n02094114,Norfolk terrier,185
n02094258,Norwich terrier,186
n02094433,Yorkshire terrier,187
n02095314,wire-haired fox terrier,188
n02095570,Lakeland terrier,189
n02095889,Sealyham terrier,190
n02096051,Airedale,191
n02096177,cairn,192
n02096294,Australian terrier,193
n02096437,Dandie Dinmont,194
n02096585,Boston bull,195
n02097047,miniature schnauzer,196
n02097130,giant schnauzer,197
n02097209,standard schnauzer,198
n02097298,Scotch terrier,199
n02097474,Tibetan terrier,200
n02097658,silky terrier,201
n02098105,soft-coated wheaten terrier,202
n02098286,West Highland white terrier,203
n02098413,Lhasa,204
n02099267,flat-coated retriever,205
n02099429,curly-coated retriever,206
n02099601,golden retriever,207
n02099712,Labrador retriever,208
n02099849,Chesapeake Bay retriever,209
n02100236,German short-haired pointer,210
n02100583,vizsla,211
n02100735,English setter,212
n02100877,Irish setter,213
n02101006,Gordon setter,214
n02101388,Brittany spaniel,215
n02101556,clumber,216
n02102040,English springer,217
