sysnet_id,label,index,class
n01440764,tench,0,tench
n01443537,goldfish,1,goldfish
n01484850,great white shark,2,great white shark
n01491361,tiger shark,3,tiger shark
n01494475,hammerhead,4,hammerhead
n01496331,electric ray,5,electric ray
n01498041,stingray,6,stingray
n01514668,cock,7,cock
n01514859,hen,8,hen
n01518878,ostrich,9,ostrich
n01530575,brambling,10,brambling
n01531178,goldfinch,11,goldfinch
n01532829,house finch,12,house finch
n01534433,junco,13,junco
n01537544,indigo bunting,14,indigo bunting
n01558993,robin,15,robin
n01560419,bulbul,16,bulbul
n01580077,jay,17,jay
n01582220,magpie,18,magpie
n01592084,chickadee,19,chickadee
n01601694,water ouzel,20,water ouzel
n01608432,kite,21,kite
n01614925,bald eagle,22,bald eagle
n01616318,vulture,23,vulture
n01622779,great grey owl,24,great grey owl
n01629819,European fire salamander,25,European fire salamander
n01630670,common newt,26,common newt
n01631663,eft,27,eft
n01632458,spotted salamander,28,spotted salamander
n01632777,axolotl,29,axolotl
n01641577,bullfrog,30,bullfrog
n01644373,tree frog,31,tree frog
n01644900,tailed frog,32,tailed frog
n01664065,loggerhead,33,loggerhead
n01665541,leatherback turtle,34,leatherback turtle
n01667114,mud turtle,35,mud turtle
n01667778,terrapin,36,terrapin
n01669191,box turtle,37,box turtle
n01675722,banded gecko,38,banded gecko
n01677366,common iguana,39,common iguana
n01682714,American chameleon,40,American chameleon
n01685808,whiptail,41,whiptail
n01687978,agama,42,agama
n01688243,frilled lizard,43,frilled lizard
n01689811,alligator lizard,44,alligator lizard
n01692333,Gila monster,45,Gila monster
n01693334,green lizard,46,green lizard
n01694178,African chameleon,47,African chameleon
n01695060,Komodo dragon,48,Komodo dragon
n01697457,African crocodile,49,African crocodile
n01698640,American alligator,50,American alligator
n01704323,triceratops,51,triceratops
n01728572,thunder snake,52,thunder snake
n01728920,ringneck snake,53,ringneck snake
n01729322,hognose snake,54,hognose snake
n01729977,green snake,55,green snake
n01734418,king snake,56,king snake
n01735189,garter snake,57,garter snake
n01737021,water snake,58,water snake
n01739381,vine snake,59,vine snake
n01740131,night snake,60,night snake
n01742172,boa constrictor,61,boa constrictor
n01744401,rock python,62,rock python
n01748264,Indian cobra,63,Indian cobra
